index	image_path	question	answer	category	split	dataset	scene	sample_id	start_frame	end_frame	sample_fps	frame_dir
0	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	How do I reach the entrance of the building from the outdoor area?	You walk past the minibus and into the passageway.	Navigation	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/0	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	What is the path I should take to exit the building and reach the courtyard？	You should walk straight through the passageway.	Navigation	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/1	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
2	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	If I want to go from the entrance of the building to the far end of the indoor corridor, what steps should I follow?	You should follow 3 steps to reach the far end of the corridor.	Navigation	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/2	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
3	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	Can you guide me from the courtyard to the exit doors seen in the final frames?	Yes, you should turn left and walk towards the foyer, at the end of which you may find the exit doors.	Navigation	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/3	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
4	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	How should I proceed to move from the first lit archway to reach the long corridor?	You should walk straight from the archway, across the courtyard and you will reach the long corridor.	Navigation	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/4	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
5	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	Can you explain the steps needed to reach the lit archway after entering the open courtyard?	You should walk straight and then turn right to reach the lit archway after entering the open courtyard.	Navigation	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/5	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
6	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	After entering through the entrance doorway, how do I navigate through the narrow path to reach the courtyard?	Walk through the entrance doorway, straight ahead in the narrow path and you will reach the courtyard.	Navigation	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/6	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
7	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	What text appears on the sign in frames 56–61?	The text that appears on the sign is “BODLEIAN LIBRARIES.”	Text Recognition	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/7	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
8	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	"Where is the ""BODLEIAN LIBRARIES"" text located in the video?"	It is lcated on a sign visible in the courtyard and passageway area, near the entrance to the building.	Text Recognition	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/8	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
9	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	"How many times does the phrase ""BODLEIAN LIBRARIES"" appear in frames 56–61?"	The phrase appears once on the sign during these frames.	Text Recognition	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/9	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
10	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	"What does the presence of the ""BODLEIAN LIBRARIES"" sign suggest about the location?"	It suggests that the video is filmed near or at the Bodleian Libraries, a group of historic libraries at the University of Oxford.	Text Recognition	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/10	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
11	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	"Can you identify any other text surrounding the ""BODLEIAN LIBRARIES"" sign?"	The main visible text is “BODLEIAN LIBRARIES.” Other surrounding text is either minimal or not clearly visible in these frames.	Text Recognition	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/11	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
12	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	"How does the ""BODLEIAN LIBRARIES"" sign guide or inform visitors in this setting?"	It provides direction and identification, letting visitors know they are at or near the library entrance and guiding them toward the institution.	Text Recognition	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/12	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
13	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000002.jpg	What is located to the right of the building in relation to the streetlamp	To the right of the building, in relation to the streetlamp, there are additional parked cars and a building further in the background.	Spatial Reasoning	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/13	0	2	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
14	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000016.jpg	What is the relative position of the second building compared to the main building?	The second building is positioned to the right of the main building	Spatial Reasoning	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/14	14	16	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
15	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000030.jpg	What object is directly in front of the building entrance？	Directly in front of the building entrance, there is a circular manhole cover and a set of stairs.	Spatial Reasoning	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/15	28	30	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
16	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000044.jpg	What is centered between the two walls ahead as you approach the building？	As you approach the building, a sign or board is centered between the two walls ahead in the corridor.	Spatial Reasoning	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/16	42	44	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
17	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000058.jpg	What is the spatial position of the ground cone relative to the lit archway?	The ground cone is positioned in front of the lit archway. It is situated on the left side of the frame when facing the archway from the camera's perspective.	Spatial Reasoning	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/17	56	58	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
18	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000072.jpg	What is directly in front of and below the central arch？	Directly in front of and below the central arch, there is a sign or board on the ground.	Spatial Reasoning	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/18	70	72	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
19	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000086.jpg	What is the spatial relationship between the archway and the courtyard?	The archway is on the left side, and it leads into the courtyard area. The courtyard surrounds the archway, expanding outwards from it. The archway appears as an entry point into or out of the courtyard.	Spatial Reasoning	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/19	84	86	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
20	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000100.jpg	What is located directly in front of the signboard?	Directly in front of the signboard, there is a freestanding post or stanchion with a base.	Spatial Reasoning	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/20	98	100	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
21	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	What sequence of environments did I pass through in this video？	You moved from a dark outdoor setting with illuminated windows and sparse streetlights, toward a cobblestone pathway, up steps into a lit entrance, through stone-walled corridors with vaulted ceilings, into a courtyard or passage with more illuminated windows, and finally exited through a well-lit corridor, leading to an arched doorway.	Scene Sequence	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/21	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
22	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	What did I encounter right before entering the building?	Right before entering the building, you encountered a set of steps leading up to the entrance with arched architectural details.	Scene Sequence	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/22	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
23	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	Which feature marked my final approach to the building entrance?	The final approach was marked by a slightly open door beneath detailed arches, glowing with soft light from inside.	Scene Sequence	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/23	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
24	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	After entering the building, what architectural feature was prominent inside?	Inside the building, the vaulted stone ceilings and wall-mounted lamps were the most prominent architectural features.	Scene Sequence	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/24	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
25	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	What path did I follow after entering through the door with arches?	After entering, you followed a narrow stone corridor with a vaulted ceiling, lit by periodic wall-mounted lamps.	Scene Sequence	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/25	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
26	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	Before reaching the courtyard or passage, which area did I pass through?	You passed through a dimly lit corridor.	Scene Sequence	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/26	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
27	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	What was the layout of the first indoor space after entering?	The first indoor space was a narrow stone passageway with vaulted ceilings, illuminated by sparse wall-mounted lamps.	Scene Sequence	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/27	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
28	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000053.jpg	How did the journey through the building conclude, based on the scene sequence?	The journey concluded by emerging into a courtyard or passage with more illuminated windows, visible sky, and an archway leading to another indoor area with an arched doorway, leading to the street.	Scene Sequence	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/28	0	104	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
29	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000002.jpg	How many windows on the building are lit?	There are 14 windows lit on the building.	Object Recognition	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/29	0	2	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
30	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000030.jpg	What type of material is the ground mainly composed of in the scene?	The ground in the scene is mainly composed of cobblestones.	Object Recognition	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/30	28	30	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
31	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night/frame_000044.jpg	What is the material of the corridor's ceiling?	The ceiling of the corridor appears to be made of a series of arch-shaped beams, likely stone or plaster, given its structure.	Object Recognition	night	oxford	bodleian_library_video1	oxford/bodleian_library_video1/31	42	44	1	/data/Night_Ego_Dataset/EgoNight/EgoNight_Oxford/bodleian_library_video1/extracted_frames/Night
